"feed_type_code","feed_item_code","feed_item_name","dm_content","me_content","cp_content","establishment_cost","operational_cost","establishment_labour","operational_labour","me_fresh","cp_fresh","de","wfp_green","wfp_blue","wfp_grey","emission_factor","associated_crop"
"1","1","Andropogon gayanus (forage)",27.8,7.1,6.25479452054795,0,18,6,0.203,2.52812438356164,1.73883287671233,0.4686,0.199,0.002,0.002,0,"Andropogon gayanus"
"34","2","Banana (fruit)",22,12.3,5.2,0,0,0,0.97,2.706,1.144,0.8118,0.66,0.097,0.033,0,"Musa spp."
"34","3","Banana leaves",16,10,9.5,0,0,0,0.97,1.6,1.52,0.66,0.66,0.097,0.033,0,"Musa spp."
"21","4","Barley (forage)",34,8.69,4.5,0,0,0,0.203,2.9546,1.53,0.57354,0.199,0.002,0.002,0,"Hordeum vulgare (forage)"
"23","5","Barley (grains) IP",87.1,12.4,11.8,0,0,0,1.423,10.8004,10.2778,0.8184,1.213,0.079,0.131,0.5,"Hordeum vulgare (IP)"
"22","6","Barley (grains) OFC",87.1,12.4,11.8,0,0,0,1.423,10.8004,10.2778,0.8184,1.213,0.079,0.131,0.5,"Hordeum vulgare (grain)"
"22","7","Barley (straw)",87,5.88,0.3,0,0,0,1.423,5.1156,0.261,0.38808,1.213,0.079,0.131,0,"Hordeum vulgare (grain)"
"11","8","Bermuda grass (Cynodon dactylon) - forage",30.3,9.671508,12.6,0,18,6,0.203,2.930466924,3.8178,0.638319528,0.199,0.002,0.002,0,"Cynodon nlemfuensis"
"11","9","Bermuda grass (Cynodon dactylon) - hay",93,7.410636,7.6,0,18,6,0.203,6.89189148,7.068,0.489101976,0.199,0.002,0.002,0,"Cynodon nlemfuensis"
"50","10","Berseem clover",11,12.39,26,0,0,0,0.203,1.3629,2.86,0.81774,0.199,0.002,0.002,0,"Trifolium alexandrinum"
"5","11","Brachiaria brizantha (forage)",26,7.25479452054795,7.25479452054795,20,31,8,0.203,1.88624657534247,1.88624657534247,0.478816438356164,0.199,0.002,0.002,0,"Brachiaria brizantha"
"6","12","Brachiaria hybrid (forage)",26,7.25479452054795,8.25479452054795,20,31,8,0.203,1.88624657534247,2.14624657534247,0.478816438356164,0.199,0.002,0.002,0,"Brachiaria hybrid"
"7","13","Canavalia brasiliensis (forage)",30,12.1,22,100,6,6,0.203,3.63,6.6,0.7986,0.199,0.002,0.002,0,"Canavalia brasiliensis"
"8","14","Cassava (Manihot esculenta) - crop residue",16.1,10.006452,19.94,0,0,0,0,1.611038772,3.21034,0.660425832,0,0,0,0,"Cassava"
"8","15","Cassava (Manihot esculenta) - fresh peelings",27.9,4.3124,5.45,0,0,0,0,1.2031596,1.52055,0.2846184,0,0,0,0,"Cassava"
"8","16","Cassava (Manihot esculenta) - tubers",88.84,10.76,1.81,0,0,0,0,9.559184,1.608004,0.71016,0,0,0,0,"Cassava"
"43","17","Concentrate (commercial)",90,12.1,16,0.3,0,0,0,10.89,14.4,0.7986,0,0,0,0,"Purchased"
"9","18","Cowpea (Vigna unguiculata) - crop residue",90,9.880848,18.4,0,0,0,0,8.8927632,16.56,0.652135968,0,0,0,0,"Cowpea"
"9","19","Cowpea (Vigna unguiculata) - forage",12.28,10.45,20.56,100,6,6,0.203,1.28326,2.524768,0.6897,0.199,0.002,0.002,0,"Cowpea"
"9","20","Cowpea (Vigna unguiculata) - grain",89.83,13.21,23.88,0,0,0,0,11.866543,21.451404,0.87186,0,0,0,0,"Cowpea"
"9","21","Cowpea (Vigna unguiculata) - meal",90.17,14,22.53,0,0,0,0,12.6238,20.315301,0.924,0,0,0,0,"Cowpea"
"10","22","Cratylia argentea (forage)",30,9.4,24,0,18,6,0,2.82,7.2,0.6204,0,0,0,0,"Cratylia"
"11","23","Cynodon nlemfuensis (forage)",30.3,9.671508,12.6,100,6,6,0.203,2.930466924,3.8178,0.638319528,0.199,0.002,0.002,0,"Cynodon nlemfuensis"
"12","24","Dichanthium aristatum (forage)",33,7.25,8,0,18,6,0.203,2.3925,2.64,0.4785,0.199,0.002,0.002,0,"Dichanthium aristatum"
"49","25","Digitaria swazilandensis (forage)",24,9.7,9.9,20,31,8,0.203,2.328,2.376,0.6402,0.199,0.002,0.002,0,"Swazi"
"54","26","Fava bean (grain)",86.6,13.3,29,0,0,0,0.203,11.5178,25.114,0.8778,0.199,0.002,0.002,0,"Vicia faba (grain)"
"54","27","Fava bean (straw)",89.7,6.4,7.4,0,0,0,0.203,5.7408,6.6378,0.4224,0.199,0.002,0.002,0,"Vicia faba (grain)"
"15","28","Gliricidia sepium (forage)",30,11.5,22.3,100,6,6,0,3.45,6.69,0.759,0,0,0,0,"Gliricidia"
"17","29","Groundnut (Arachis hypogaea) - crop residue",89.53,7.99,6.52,0,0,0,0.203,7.153447,5.837356,0.52734,0.199,0.002,0.002,0,"Groundnut"
"17","30","Groundnut (Arachis hypogaea) - Kernel",92.7,21.1852,33.2,0,0,0,0,19.6386804,30.7764,1.3982232,0,0,0,0,"Groundnut"
"17","31","Groundnut (Arachis hypogaea) - seed hulls",93.12,6.56,16.29,0,0,0,0,6.108672,15.169248,0.43296,0,0,0,0,"Groundnut"
"19","32","Guazuma ulmifolia (forage)",30,11,15,0,0,0,0,3.3,4.5,0.726,0,0,0,0,"Guazuma ulmifolia"
"24","33","Hyparrhenia rufa  (forage)",26,6.12931506849315,6,0,18,6,0.203,1.59362191780822,1.56,0.404534794520548,0.199,0.002,0.002,0,"Hyparrhenia rufa"
"25","34","Ischaemum ciliare  (forage)",24,6.00383561643836,6,0,18,6,0.203,1.44092054794521,1.44,0.396253150684931,0.199,0.002,0.002,0,"Ischaemum ciliare"
"28","35","Italian ryegrass (forage)",19,8.7,7,0,0,0,0.203,1.653,1.33,0.5742,0.199,0.002,0.002,0,"Lolium multiflorum"
"28","36","Italian ryegrass (hay)",85,8.36,6.01,0,0,0,0.203,7.106,5.1085,0.55176,0.199,0.002,0.002,0,"Lolium multiflorum"
"28","37","Italian ryegrass (silage)",33.5,9.07,5.3,0,0,0,0.203,3.03845,1.7755,0.59862,0.199,0.002,0.002,0,"Lolium multiflorum"
"26","38","Lablab (Lablab purpureus) - forage",18.3,11.43,22.94,100,6,6,0.203,2.09169,4.19802,0.75438,0.199,0.002,0.002,0,"Lablab"
"26","39","Lablab (Lablab purpureus) - hay",90,9.29,16.6,50,10,10,0.203,8.361,14.94,0.61314,0.199,0.002,0.002,0,"Lablab"
"26","40","Lablab (Lablab purpureus) - silage",27.83,7.44,17.51,50,10,10,0.203,2.070552,4.873033,0.49104,0.199,0.002,0.002,0,"Lablab"
"27","41","Leucaena (Leucaena leucocephala) - forage",26.2,9.5,19.93,100,6,6,0,2.489,5.22166,0.627,0,0,0,0,"Leucaena"
"32","42","Lucerne (Medicago sativa) - forage",21,10.08,19.7,0,0,0,0.378,2.1168,4.137,0.66528,0.207,0.171,0,0,"Medicago sativa"
"32","43","Lucerne (Medicago sativa) - hay",85,8.36,12.5,0,0,0,0.378,7.106,10.625,0.55176,0.207,0.171,0,0,"Medicago sativa"
"32","44","Lucerne (Medicago sativa) - silage",44.1,9.545904,19.5,0,0,0,0.378,4.209743664,8.5995,0.630029664,0.207,0.171,0,0,"Medicago sativa"
NA,"45","Lupins (Lupinus angustifolius) - crop residue",93.85,5.57,6.44,0,0,0,0,5.227445,6.04394,0.36762,0,0,0,0,"Lupins"
NA,"46","Lupins (Lupinus angustifolius) - grain",90,19,30,0,0,0,0,17.1,27,1.254,0,0,0,0,"Lupins"
NA,"47","Lupins (Lupinus angustifolius) - pods",91.89,7.36,5.54,0,0,0,0,6.763104,5.090706,0.48576,0,0,0,0,"Lupins"
"43","48","Maize (Zea mays) - bought stover",87,9.127224,5.9,0,0,0,1.222,7.94068488,5.133,0.602396784,0.947,0.081,0.194,0,"Purchased"
"29","49","Maize (Zea mays) - cobs ground",90.1,7.578108,2.8,0,0,0,1.222,6.827875308,2.5228,0.500155128,0.947,0.081,0.194,0,"Maize"
"30","50","Maize (Zea mays) - cracked grains IP",89,13.020948,10,0,0,0,1.222,11.58864372,8.9,0.859382568,0.947,0.081,0.194,0.5,"Maize IP"
"29","51","Maize (Zea mays) - forage",82,10.215792,8.9,0,0,0,0.203,8.37694944,7.298,0.674242272,0.199,0.002,0.002,0,"Maize"
"31","52","Maize (Zea mays) - silage",30,10.79,4.4,1680,0,0,0.203,3.237,1.32,0.71214,0.199,0.002,0.002,0,"Maize-silage"
"29","53","Maize (Zea mays) - stover",87,9.127224,5.9,0,0,0,1.222,7.94068488,5.133,0.602396784,0.947,0.081,0.194,0,"Maize"
"29","54","Maize (Zea mays) - whole grain",90,15,9,0,0,0,1.222,13.5,8.1,0.99,0.947,0.081,0.194,0.5,"Maize"
"33","55","Moringa oleifera (forage)",26.2,10.6,24.3,0,0,0,0,2.7772,6.3666,0.6996,0,0,0,0,"Moringa oleifera"
NA,"56","Mucuna (Mucuna pruriens) - forage",20.967,10.8,15.77,0,0,0,0.203,2.264436,3.3064959,0.7128,0.199,0.002,0.002,0,"Mucuna"
NA,"57","Mucuna (Mucuna pruriens) - green fodder",20.967,10.8,15.77,0,0,0,0.203,2.264436,3.3064959,0.7128,0.199,0.002,0.002,0,"Mucuna"
NA,"58","Mucuna (Mucuna pruriens) - hay",90.6,10.89,14.8,0,0,0,0.203,9.86634,13.4088,0.71874,0.199,0.002,0.002,0,"Mucuna"
NA,"59","Mucuna (Mucuna pruriens) - seed",92.37,14.193,27.3,0,0,0,0,13.1100741,25.21701,0.936738,0,0,0,0,"Mucuna"
NA,"60","Mulberry (Morus alba)",28.4,10,19.4,0,0,0,0.203,2.84,5.5096,0.66,0.199,0.002,0.002,0,"Mulberry"
"35","61","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N/A"
"36","62","Naturally occuring pasture - grazing",60,5,6,20,18,6,0.203,3,3.6,0.33,0.199,0.002,0.002,0,"Natural pasture"
"36","63","Naturally occuring pasture - grazing OFR",60,5,6,20,18,6,0.203,3,3.6,0.33,0.199,0.002,0.002,0,"Natural pasture"
"36","64","Naturally occuring pasture - green fodder",60,5,6,840,18,100,0.203,3,3.6,0.33,0.199,0.002,0.002,0,"Natural pasture"
"2","65","Oats (Avena sativa) - grain IP",89,12.267324,13.6,0,0,0,1.788,10.91791836,12.104,0.809643384,1.479,0.181,0.128,0.5,"Avena sativa"
"3","66","Oats (Avena sativa) - green fodder",31,8.36,4,0,0,0,0.4,2.5916,1.24,0.55176,0.392,0.004,0.004,0,"Avena sativa-forage"
"3","67","Oats (Avena sativa) - hay",85,7.48,3.5,0,0,0,0.4,6.358,2.975,0.49368,0.392,0.004,0.004,0,"Avena sativa-forage"
"3","68","Oats (Avena sativa) - hay OFR",85,7.48,3.5,0,0,0,0.4,6.358,2.975,0.49368,0.392,0.004,0.004,0,"Avena sativa-forage"
"2","69","Oats (Avena sativa) - hulls",92.4,5.317236,4.1,0,0,0,0,4.913126064,3.7884,0.350937576,0,0,0,0,"Avena sativa"
"43","70","Oats (Avena sativa) - meal/cereal by-product",91,15.28182,16.2,0,0,0,0,13.9064562,14.742,1.00860012,0,0,0,0,"Purchased"
"3","71","Oats (Avena sativa) - silage",36.4,8.917884,12.7,0,0,0,0.203,3.246109776,4.6228,0.588580344,0.199,0.002,0.002,0,"Avena sativa-forage"
"2","72","Oats (Avena sativa) - straw",88,6.47,0,0,0,0,1.788,5.6936,0,0.42702,1.479,0.181,0.128,0.5,"Avena sativa"
NA,"73","Orchard grass (Dactylis glomerata) - green fodder",27.4,8.624808,10.1,0,0,0,0,2.363197392,2.7674,0.569237328,0,0,0,0,"Orchard grass"
NA,"74","Orchard grass (Dactylis glomerata) - hay",90.6,8.16426,8.4,0,0,0,0,7.39681956,7.6104,0.53884116,0,0,0,0,"Orchard grass"
NA,"75","Orchard tree (Bauhinia variegata) - green leaves",42.85,7.49437,16.15,0,0,0,0,3.211337545,6.920275,0.49462842,0,0,0,0,"Orchard grass"
"38","76","Panicum maximum (forage)",26,7.54301369863014,9.88219178082192,20,31,8,0.203,1.96118356164384,2.5693698630137,0.497838904109589,0.199,0.002,0.002,0,"Panicum maximum"
"38","77","Panicum maximum (green fodder)",26,7.58,10,20,31,8,0.203,1.9708,2.6,0.50028,0.199,0.002,0.002,0,"Panicum maximum"
"39","78","Paspalum notatum (forage)",28,7.54301369863014,8.25479452054795,20,31,8,0.203,2.11204383561644,2.31134246575342,0.497838904109589,0.199,0.002,0.002,0,"Paspalum notatum"
NA,"79","Pearl Millet (Pennisetum glaucum) - crop residue",86,9.462168,6.4,0,0,0,1.644,8.13746448,5.504,0.624503088,0,0,0,0,"Pearl Millet"
NA,"80","Pearl Millet (Pennisetum glaucum) - grain",90.34,12.43,13.88,0,0,0,0,11.229262,12.539192,0.82038,0,0,0,0,"Pearl Millet"
NA,"81","Pearl Millet (Pennisetum glaucum) - green fodder",25,8.55,13.81,0,0,0,0.203,2.1375,3.4525,0.5643,0.199,0.002,0.002,0,"Pearl Millet"
"40","82","Pennisetum purpureum - forage",15,9.880848,11,20,18,6,0.5,1.4821272,1.65,0.652135968,0,0,0,0,"Pennisetum purpureum"
"41","83","Pennisetum purpureum - silage",19.5,7.5,6.5,20,18,6,0.5,1.4625,1.2675,0.495,0,0,0,0,"Pennisetum purpureum-silage"
"42","84","Pigeon Pea (Cajanus cajan) - crop residue",91.69,7.996788,16.3,0,0,0,0,7.3322549172,14.94547,0.527788008,0,0,0,0,"Pigeon pea"
"42","85","Pigeon Pea (Cajanus cajan) - meal",89.4,11.08,19.39,0,0,0,0,9.90552,17.33466,0.73128,0,0,0,0,"Pigeon pea"
"42","86","Pigeon Pea (Cajanus cajan) - seed",68.7,11.5,21.6,0,0,0,0,7.9005,14.8392,0.759,0,0,0,0,"Pigeon pea"
NA,"87","Pineapple (Ananas comosus) - crop residue",20.6,11.5137,9.1,0,0,0,0,2.3718222,1.8746,0.7599042,0,0,0,0,"Pineapple"
NA,"88","Pineapple (Ananas comosus) - leaf silage",35.12,8.22,7.94,0,0,0,0,2.886864,2.788528,0.54252,0,0,0,0,"Pineapple"
NA,"89","Potato (Solanum tuberosum) - peelings",15.44,10.25,6.96,0,0,0,0,1.5826,1.074624,0.6765,0,0,0,0,"Potato"
NA,"90","Potato (Solanum tuberosum) - tuber",16.34,12.99,14.13,0,0,0,0,2.122566,2.308842,0.85734,0,0,0,0,"Potato"
"43","91","Poultry litter",78.7,8.16426,17.78,0,0,0,0,6.42527262,13.99286,0.53884116,0,0,0,0,"Purchased"
NA,"92","Pumpkin (Cucurbita maxima) - fruit",22.73,9.91,15.44,0,0,0,0,2.252543,3.509512,0.65406,0,0,0,0,"Pumpkin"
NA,"93","Red clover (Trifolium pratense) - green fodder",19.6,10.425132,20.8,0,0,0,0.203,2.043325872,4.0768,0.688058712,0.199,0.002,0.002,0,"Red clover"
NA,"94","Red clover (Trifolium pratense) - hay",88.4,8.331732,15,0,0,0,0.203,7.365251088,13.26,0.549894312,0.199,0.002,0.002,0,"Red clover"
NA,"95","Rhodes grass (Chloris gayana) - forage",28.06,7.54,14.1,0,0,0,0.203,2.115724,3.95646,0.49764,0.199,0.002,0.002,0,"Rhodes"
NA,"96","Rhodes grass (Chloris gayana) - hay",92.4,9.1,7.7,0,0,0,0.203,8.4084,7.1148,0.6006,0.199,0.002,0.002,0,"Rhodes"
"43","97","Rice (Oryza sativa) - bran (with germs)",91,10.425132,14,0,0,0,0,9.48687012,12.74,0.688058712,0,0,0,0.05,"Purchased"
"45","98","Rice (Oryza sativa) - hulls",92,1.423512,3.1,0,0,0,0,1.30963104,2.852,0.093951792,0,0,0,0,"Rice"
"45","99","Rice (Oryza sativa) - straw",91.88,5.64,3.85,0,0,0,1.644,5.182032,3.53738,0.37224,0,0,0,0,"Rice"
NA,"100","Sesbania (Sesbania sesban) - green fodder",28.9,8.54,21.3,0,0,0,0,2.46806,6.1557,0.56364,0,0,0,0,"Sesbania"
NA,"101","Smooth Broome (Bromus inermis) - green fodder",26.1,11.220624,21.3,0,0,0,0,2.928582864,5.5593,0.740561184,0,0,0,0,"Smooth Broome"
NA,"102","Smooth Broome (Bromus inermis) - hay",92.6,8.038656,6,0,0,0,0,7.443795456,5.556,0.530551296,0,0,0,0,"Smooth Broome"
"46","103","Sorghum (Sorghum bicolor) - crop residue",85,7.033824,4.9,0,0,0,3.048,5.9787504,4.165,0.464232384,2.857,0.103,0.087,0,"Sorghum bicolor (grain)"
"47","104","Sorghum (Sorghum bicolor) - forage",27,8.57,3.7,200,0,10,0.203,3.626526,0.999,0.56562,0.199,0.002,0.002,0,"Sorghum bicolor (forage/silage)"
"46","105","Sorghum (Sorghum bicolor) - grain",90,12.392928,12.6,0,0,0,0,11.1536352,11.34,0.817933248,0,0,0,0.5,"Sorghum bicolor (grain)"
"47","106","Sorghum (Sorghum bicolor) - silage",30,8.57,3.7,0,0,0,0.203,2.571,1.11,0.56562,0.199,0.002,0.002,0,"Sorghum bicolor (forage/silage)"
"16","107","Soybean (Glycine max) - crop residue",88,6.322068,5.2,0,0,0,0,5.56341984,4.576,0.417256488,0,0,0,0,"Glycine max"
"16","108","Soybean (Glycine max) - meal",89,13.18842,49.6,0,0,0,0,11.7376938,44.144,0.87043572,0,0,0,0,"Glycine max"
"16","109","Soybean (Glycine max) - seed coats",90.3,12.476664,12.2,0,0,0,0,11.266427592,11.0166,0.823459824,0,0,0,0,"Glycine max"
"16","110","Soybean (Glycine max) - whole seed IP",86.4,14.23512,40.3,0,0,0,2.145,12.29914368,34.8192,0.93951792,2.037,0.07,0.037,0.4,"Glycine max"
NA,"111","Stipa (grazing) OF",72,5.6,5,0,0,0,0,4.032,3.6,0.3696,0,0,0,0,"Stipa tenacissima"
NA,"112","Stylo (Stylosanthes guianensis) - forage",19.42,9.545904,18.69,0,0,0,0.203,1.8538145568,3.629598,0.630029664,0.199,0.002,0.002,0,"Stylo"
"4","113","Sugar beet (pulp) OFR",89,11.4,8.9,0,0,0,0.033,10.146,7.921,0.7524,0.0205,0.0065,0.00625,0,"Beta vulgaris"
"43","114","Sugarcane (Saccharum officinarum) - BOUGHT",29,6.9,5.9,0,0,0,0,2.001,1.711,0.4554,0,0,0,0,"Purchased"
"48","115","Sugarcane (Saccharum officinarum) - crop residue",96.27,7.44,3.69,0,0,0,0.21,7.162488,3.552363,0.49104,0.139,0.057,0.013,0,"Sugarcane"
"48","116","Sugarcane (Saccharum officinarum) - forage",23.2,9,4.3,200,18,200,0.197,2.088,0.9976,0.594,0,0,0,0,"Sugarcane"
"43","117","Sugarcane (Saccharum officinarum) - molasses",74.3,10.88568,5.8,0.3,0,0,0,8.08806024,4.3094,0.71845488,0,0,0,0,"Purchased"
"48","118","Sugarcane (Saccharum officinarum) - tops (forage)",29,6.9,5.9,100,0,100,0.21,2.001,1.711,0.4554,0.139,0.057,0.013,0,"Sugarcane"
"48","119","Sugarcane (Saccharum officinarum) - tops (hay)",85,7,5.5,100,0,100,0.21,5.95,4.675,0.462,0.139,0.057,0.013,0,"Sugarcane"
"20","120","Sulla",12.3,9.7,20.2,0,0,0,0.203,1.1931,2.4846,0.6402,0.199,0.002,0.002,0,"Hedysarum coronarium"
"43","121","Sunflower (Helianthus annuus) - seed cake",94.9,9.127224,17.9,0,0,0,0,8.661735576,16.9871,0.602396784,0,0,0,0,"Purchased"
NA,"122","Sweet potato (Ipomoea batatas) -  leaves",10.8,10.01,19.4,0,0,0,0,1.08108,2.0952,0.66066,0,0,0,0,"Sweet potato"
NA,"123","Sweet potato (Ipomoea batatas) -  tubers (fresh)",59,13.58,5.1,0,0,0,0,8.0122,3.009,0.89628,0,0,0,0,"Sweet potato"
NA,"124","Sweet potato (Ipomoea batatas) -  tubers meal (dried)",87.1,11.35,4.6,0,0,0,0,9.88585,4.0066,0.7491,0,0,0,0,"Sweet potato"
NA,"125","Sweet potato (Ipomoea batatas) -  vines",10.8,10.01,19.4,0,0,0,0,1.08108,2.0952,0.66066,0,0,0,0,"Sweet potato"
"14","126","Tall fescue",21,9.11,8.9,0,0,0,0.203,1.9131,1.869,0.60126,0.199,0.002,0.002,0,"Fustuca arundinacea"
NA,"127","Tomato (Lycopersicon esculentum) - waste fruits",44.08,7.43,21,0,0,0,0,3.275144,9.2568,0.49038,0,0,0,0,"Tomato"
"53","128","Wheat (bran) IP",87,11,17.3,0,0,0,1.828,9.57,15.051,0.726,1.278,0.342,0.208,0.05,"Triticum IP"
"52","129","Wheat (bran) OFC",87,11,17.3,0,0,0,1.828,9.57,15.051,0.726,1.278,0.342,0.208,0.05,"Triticum OF"
"51","130","Wheat (straw)",88,5.63,4.2,0,0,0,1.828,4.9544,3.696,0.37158,1.278,0.342,0.208,0,"Triticum"
"51","131","Wheat (straw) OFR",88,5.63,4.2,0,0,0,1.828,4.9544,3.696,0.37158,1.278,0.342,0.208,0,"Triticum"
NA,"132","White sweet clover (Melilotus alba) - green fodder",15,9.1,22.5,0,0,0,0.203,1.365,3.375,0.6006,0.199,0.002,0.002,0,"White sweet clover"
