"livetype_code","livetype_desc","body_weight","litter_size","lactation_length","proportion_growth","lw_gain","grazing_displacement","me_maintenance","me_grazing","me_pregnancy","me_lactation","me_lactmilk","me_growth","cp_maintenance","cp_grazing","cp_pregnancy","cp_lactation","cp_lactmilk","cp_growth","milk_production","live_weight_gain","birth_interval","protein_milkcontent","fat_content","energy_milkcontent","energy_meatcontent","protein_meatcontent","carcass_fraction","energy_eggcontent","n_content","water_requirement","meat_product","milk_product","oneoff_cost","operational_cost","oneoff_labour","operational_labour","meat_price","milk_price","ipcc_meth_ef_t1","ipcc_meth_ef_t2","ipcc_meth_man","ipcc_meth_exc"
1,"Cattle - Cows (local)",350,0,0,0,0,0,40.4595490176744,2,1260,0,5.5,0,0.35,0,9.64,0,0.09,0,0,0,1.5,3.2,5.8,970,2200,26,0,0,0.029,120,"beef","cow milk",6200,4200,0,46,0,1.045,"Other mature female","Dairy cows","Dairy cows","Dairy cattle"
2,"Cattle - Cows (improved)",600,0,0,0,0,0,60.6154651402987,2,1500,0,5.5,0,0.6,0,12.21,0,0.09,0,0,0,1.16666666666667,3.7,4.3,970,2200,26,0.48,0,0.029,140,"beef","cow milk",1300,1200,0,5,0,1.045,"Dairy cattle","Dairy cows","Dairy cows","Dairy cattle"
3,"Cattle - Cows (high productive)",600,0,0,0,0,2,60.6154651402987,2,2000,0,5.5,0,0.6,0,15,0,0.09,0,0,0,1.16666666666667,3.7,4,970,2200,26,0.45,0,0.029,160,"beef","cow milk",6400,4000,0,50.7,0,1.045,"Dairy cattle","Dairy cows","Dairy cows","Dairy cattle"
4,"Cattle - Adult male",580,0,0,0,0,0,59.0936750240647,2,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,2200,26,0.48,0,0.029,100,"beef","cow milk",5800,3400,0,5,0,1.045,"Other draft bull","Non-dairy","Other cattle","Other cattle"
5,"Cattle - Steers/heifers",200,0,0,0,0,0,26.5914794847249,1.5,0,0,0,50,0.2,0,0,0,0,0.4,0,0,0,0,0,0,2200,26,0.48,0,0.029,80,"beef","cow milk",200,40,0,5,0,1.045,"Other mature female-grazing","Non-dairy","Other cattle","Other cattle"
6,"Cattle - Steers/heifers (improved)",300,0,0,0,0,2,36.0421712120213,1.5,0,0,0,50,0.3,0,0,0,0,0.4,0,0,0,0,0,0,2200,26,0.49,0,0.029,100,"beef","cow milk",3450,1650,0,7.6,0,1.045,"Other mature female-grazing","Non-dairy","Other cattle","Other cattle"
7,"Cattle - Calves",90,0,0,0,0,0,14.6100561963795,1,0,0,0,50,0.09,0,0,0,0,0.4,0,0,0,0,0,0,2200,26,0.49,0,0.029,50,"beef","cow milk",100,30,0,5,0,1.045,"Other young","Non-dairy","Other cattle","Other cattle"
8,"Cattle - Calves (improved)",90,0,0,0,0,2,14.6100561963795,1,0,0,0,50,0.09,0,0,0,0,0.4,0,0,0,0,0,0,2200,26,0.52,0,0.029,50,"beef","cow milk",1100,1500,0,15.2,0,1.045,"Other young","Non-dairy","Other cattle","Other cattle"
9,"Buffalo - Cows",450,0,0,0,0,0,48.8516671824473,2,1260,0,5.5,0,0.45,0,9.64,0,0.09,0,0,0,1.2,3.7,4.3,970,2200,26,0,0,0.029,140,"buffalo","buffalo milk",1500,20,0,8,21,1.045,"Other mature female-grazing","Dairy cows","Dairy cows","Dairy cattle"
10,"Buffalo - Steers/heifers",270,0,0,0,0,0,33.3037262021528,1.5,0,0,0,50,0.27,0,0,0,0,0.4,0,0,0,0,0,0,2200,26,0.58,0,0.029,100,"buffalo","buffalo milk",1000,10,0,2,21,1.045,"Other young","Non-dairy","Other cattle","Other cattle"
11,"Buffalo - Calves",110,0,0,0,0,0,16.983004246799,0,0,0,0,50,0.11,0,0,0,0,0.4,0,0,0,0,0,0,2200,26,0.58,0,0.029,50,"buffalo","buffalo milk",400,10,0,2,21,1.045,"Other young","Non-dairy","Other cattle","Other cattle"
12,"Sheep - Ewes",53,0,60,0,0,0,8.64290180159011,0,518.574108095407,1296.43527023852,5.5,0,0.106,0,8.374,12.72,0.09,0,0,0,1,3.2,5.8,970,2200,25,0.5,0,0.027,14,"mutton","sheep milk",460,210,0,15.2,25,0,"Goats","Sheep","Sheep","Sheep"
13,"Sheep - Breeding Rams",30,0,0,0,0,0,5.64018848443029,0,0,0,0,46,0.06,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,14,"mutton","sheep milk",0,0,0,0,25,0,"Goats","Sheep","Sheep","Sheep"
14,"Sheep - Fattening Rams",20,0,0,0,0,0,4.16126307961397,0,0,0,0,46,0.04,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,10,"mutton","sheep milk",0,0,0,0,25,0,"Goats","Sheep","Sheep","Sheep"
15,"Sheep - Lambs",15,0,0,0,0,0,3.35367613782046,0,0,0,0,46,0.03,0,0,0,0,0.45,0,0,0,3.2,5.8,970,2200,25,0.5,0,0.029,5,"mutton","sheep milk",180,150,0,3,25,0,"Goats","Sheep","Sheep","Sheep"
16,"Goats - Does",53,0,60,0,0,0,8.64290180159011,0,518.574108095407,1296.43527023852,5.5,0,0.106,0,8.374,12.72,0.09,0,0,0,1,3.2,5.8,970,2200,25,0.5,0,0.027,14,"goat","goat milk",460,210,0,15.2,25,0,"Goats","Goats","Sheep","Sheep"
17,"Goats - Breeding Bucks",30,0,0,0,0,0,5.64018848443029,0,0,0,0,46,0.06,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,14,"goat","goat milk",0,0,0,0,25,0,"Goats","Goats","Sheep","Sheep"
18,"Goats - Fattening Bucks",20,0,0,0,0,0,4.16126307961397,0,0,0,0,46,0.04,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,10,"goat","goat milk",0,0,0,0,25,0,"Goats","Goats","Sheep","Sheep"
19,"Goats - Kids",15,0,0,0,0,0,3.35367613782046,0,0,0,0,46,0.03,0,0,0,0,0.45,0,0,0,3.2,5.8,970,2200,25,0.5,0,0.029,5,"goat","goat milk",180,150,0,3,25,0,"Goats","Goats","Sheep","Sheep"
20,"Pigs - lactating/pregnant sows",200,10,21,60,0.2,0,23.4005019465579,0,170,656.7372,0,0,0.0297824570228919,0,0.33396,1.2348,0,0,0,0,0.5,0,0,0,2580,21,0,0,0.04,40,"pork","N/A",0,0,0,0,0,0,"Pigs","N/A","Swine","Pigs"
21,"Pigs - dry sows/boars",200,0,0,0,0,0,23.4005019465579,0,0,0,0,0,0.0297824570228919,0,0,0,0,0,0,0,0,0,0,0,2580,21,0,0,0.04,15,"pork","N/A",0,0,0,0,0,0,"Pigs","N/A","Swine","Pigs"
22,"Pigs - growers",80,0,0,0,0,0,11.769829367585,0,0,0,0,45,0.0149797828314718,0,0,0,0,0.05,0,0,0,0,0,0,2580,21,0.6,0,0.04,10,"pork","N/A",0,0,0,0,0,0,"Pigs","N/A","Swine","Pigs"
